ts_code,symbol,name,area,industry,list_date,delist_date,list_status,exchange,market
920751.BJ,920751,惠同新材,湖南,小金属,20230717,,L,BSE,北交所
920748.BJ,920748,路桥信息,福建,软件服务,20230816,,L,BSE,北交所
920735.BJ,920735,德源药业,江苏,化学制药,20210219,,L,BSE,北交所
920729.BJ,920729,永顺生物,广东,农业综合,20200727,,L,BSE,北交所
920726.BJ,920726,朱老六,吉林,食品,20210527,,L,BSE,北交所
920725.BJ,920725,惠丰钻石,河南,矿物制品,20220718,,L,BSE,北交所
920720.BJ,920720,吉冈精密,江苏,机械基件,20211124,,L,BSE,北交所
920719.BJ,920719,宁新新材,江西,化工原料,20230526,,L,BSE,北交所
920718.BJ,920718,合肥高科,安徽,家用电器,20221222,,L,BSE,北交所
920717.BJ,920717,瑞星股份,河北,专用机械,20230703,,L,BSE,北交所
920706.BJ,920706,铁拓机械,福建,工程机械,20240308,,L,BSE,北交所
920703.BJ,920703,广厦环能,北京,专用机械,20231205,,L,BSE,北交所
920701.BJ,920701,豪声电子,浙江,元器件,20230719,,L,BSE,北交所
920699.BJ,920699,海达尔,江苏,家用电器,20230509,,L,BSE,北交所
920694.BJ,920694,中裕科技,江苏,塑料,20230424,,L,BSE,北交所
920693.BJ,920693,阿为特,上海,机械基件,20231027,,L,BSE,北交所
920690.BJ,920690,捷众科技,浙江,汽车配件,20240105,,L,BSE,北交所
920689.BJ,920689,克莱特,山东,专用机械,20220321,,L,BSE,北交所
920685.BJ,920685,新芝生物,浙江,电器仪表,20221010,,L,BSE,北交所
920682.BJ,920682,球冠电缆,浙江,电气设备,20200727,,L,BSE,北交所
920679.BJ,920679,前进科技,浙江,机械基件,20231110,,L,BSE,北交所
920675.BJ,920675,秉扬科技,四川,矿物制品,20201228,,L,BSE,北交所
920670.BJ,920670,数字人,山东,软件服务,20201208,,L,BSE,北交所
920665.BJ,920665,科强股份,江苏,橡胶,20230926,,L,BSE,北交所
920663.BJ,920663,明阳科技,江苏,汽车配件,20230315,,L,BSE,北交所
920662.BJ,920662,方盛股份,江苏,机械基件,20221128,,L,BSE,北交所
920656.BJ,920656,海昇药业,浙江,化学制药,20240202,,L,BSE,北交所
920651.BJ,920651,天罡股份,山东,电器仪表,20230627,,L,BSE,北交所
920642.BJ,920642,通易航天,江苏,航空,20210816,,L,BSE,北交所
920641.BJ,920641,格利尔,江苏,元器件,20221202,,L,BSE,北交所
920640.BJ,920640,富士达,陕西,通信设备,20200727,,L,BSE,北交所
920639.BJ,920639,晨光电缆,浙江,电气设备,20220712,,L,BSE,北交所
920634.BJ,920634,新威凌,湖南,铅锌,20221124,,L,BSE,北交所
920627.BJ,920627,力王股份,广东,电气设备,20230907,,L,BSE,北交所
920608.BJ,920608,丰安股份,浙江,机械基件,20221216,,L,BSE,北交所
920599.BJ,920599,同力股份,陕西,工程机械,20210222,,L,BSE,北交所
920593.BJ,920593,鼎智科技,江苏,机械基件,20230413,,L,BSE,北交所
920592.BJ,920592,华信永道,北京,软件服务,20230710,,L,BSE,北交所
920580.BJ,920580,科创新材,河南,其他建材,20220513,,L,BSE,北交所
920579.BJ,920579,机科股份,北京,机械基件,20231130,,L,BSE,北交所
920578.BJ,920578,巨能股份,宁夏,专用机械,20230512,,L,BSE,北交所
920576.BJ,920576,天力复合,陕西,小金属,20230712,,L,BSE,北交所
920575.BJ,920575,*ST康乐,北京,生物制药,20230315,,L,BSE,北交所
920571.BJ,920571,国航远洋,福建,水运,20221215,,L,BSE,北交所
920570.BJ,920570,坤博精工,浙江,机械基件,20231123,,L,BSE,北交所
920566.BJ,920566,梓橦宫,四川,化学制药,20210813,,L,BSE,北交所
920564.BJ,920564,天润科技,陕西,软件服务,20220617,,L,BSE,北交所
920556.BJ,920556,雅达股份,广东,电器仪表,20230317,,L,BSE,北交所
920553.BJ,920553,凯腾精工,北京,专用机械,20210806,,L,BSE,北交所
920547.BJ,920547,无锡晶海,江苏,化学制药,20231212,,L,BSE,北交所
920541.BJ,920541,铁大科技,上海,运输设备,20230310,,L,BSE,北交所
920533.BJ,920533,骏创科技,江苏,汽车配件,20220524,,L,BSE,北交所
920527.BJ,920527,夜光明,浙江,纺织,20221027,,L,BSE,北交所
920526.BJ,920526,凯华材料,天津,化工原料,20221222,,L,BSE,北交所
920523.BJ,920523,德瑞锂电,广东,电气设备,20210603,,L,BSE,北交所
920522.BJ,920522,纳科诺尔,河北,专用机械,20231116,,L,BSE,北交所
920519.BJ,920519,万德股份,陕西,化工原料,20230915,,L,BSE,北交所
920510.BJ,920510,丰光精密,山东,机械基件,20201228,,L,BSE,北交所
920509.BJ,920509,同惠电子,江苏,电器仪表,20210111,,L,BSE,北交所
920508.BJ,920508,殷图网联,北京,电气设备,20200727,,L,BSE,北交所
920505.BJ,920505,九菱科技,湖北,机械基件,20221221,,L,BSE,北交所
920504.BJ,920504,博迅生物,上海,医疗保健,20230817,,L,BSE,北交所
920496.BJ,920496,许昌智能,河南,电气设备,20240126,,L,BSE,北交所
920493.BJ,920493,并行科技,北京,软件服务,20231101,,L,BSE,北交所
920491.BJ,920491,奥迪威,广东,元器件,20220614,,L,BSE,北交所
920489.BJ,920489,佳先股份,安徽,化工原料,20200727,,L,BSE,北交所
920478.BJ,920478,峆一药业,安徽,化学制药,20230223,,L,BSE,北交所
920476.BJ,920476,海能技术,山东,电器仪表,20221014,,L,BSE,北交所
920475.BJ,920475,三友科技,浙江,专用机械,20200727,,L,BSE,北交所
920471.BJ,920471,美邦科技,河北,化工原料,20230525,,L,BSE,北交所
920469.BJ,920469,富恒新材,深圳,塑料,20230918,,L,BSE,北交所
920455.BJ,920455,汇隆活塞,辽宁,专用机械,20230621,,L,BSE,北交所
920454.BJ,920454,同心传动,河南,汽车配件,20211115,,L,BSE,北交所
920445.BJ,920445,龙竹科技,福建,家居用品,20200727,,L,BSE,北交所
920438.BJ,920438,戈碧迦,湖北,元器件,20240325,,L,BSE,北交所
920436.BJ,920436,大地电气,江苏,汽车配件,20211115,,L,BSE,北交所
920433.BJ,920433,大唐药业,内蒙,中成药,20200727,,L,BSE,北交所
920429.BJ,920429,康比特,北京,食品,20221215,,L,BSE,北交所
920427.BJ,920427,华维设计,江西,建筑工程,20210205,,L,BSE,北交所
920425.BJ,920425,乐创技术,四川,专用机械,20230130,,L,BSE,北交所
920422.BJ,920422,润普食品,江苏,食品,20230301,,L,BSE,北交所
920419.BJ,920419,路斯股份,山东,饲料,20220311,,L,BSE,北交所
920418.BJ,920418,苏轴股份,江苏,汽车配件,20200727,,L,BSE,北交所
920415.BJ,920415,恒拓开源,河南,软件服务,20200727,,L,BSE,北交所
920414.BJ,920414,欧普泰,上海,电器仪表,20221212,,L,BSE,北交所
920407.BJ,920407,驰诚股份,河南,电器仪表,20230216,,L,BSE,北交所
920405.BJ,920405,海希通讯,上海,电器仪表,20211105,,L,BSE,北交所
920403.BJ,920403,康农种业,湖北,种植业,20240118,,L,BSE,北交所
920402.BJ,920402,硅烷科技,河南,化工原料,20220928,,L,BSE,北交所
920396.BJ,920396,常辅股份,江苏,电器仪表,20201118,,L,BSE,北交所
920395.BJ,920395,朗鸿科技,浙江,IT设备,20220901,,L,BSE,北交所
920394.BJ,920394,民士达,山东,造纸,20230425,,L,BSE,北交所
920392.BJ,920392,佳合科技,江苏,广告包装,20221230,,L,BSE,北交所
920378.BJ,920378,泰德股份,山东,汽车配件,20220620,,L,BSE,北交所
920375.BJ,920375,派诺科技,广东,电气设备,20231214,,L,BSE,北交所
920374.BJ,920374,云里物里,深圳,通信设备,20221129,,L,BSE,北交所
920371.BJ,920371,欧福蛋业,江苏,食品,20230118,,L,BSE,北交所
920370.BJ,920370,新安洁,重庆,环境保护,20200727,,L,BSE,北交所
920368.BJ,920368,连城数控,辽宁,专用机械,20200727,,L,BSE,北交所
920367.BJ,920367,新赣江,江西,化学制药,20230209,,L,BSE,北交所
920363.BJ,920363,莱赛激光,江苏,电器仪表,20231228,,L,BSE,北交所
920357.BJ,920357,雅葆轩,安徽,元器件,20221118,,L,BSE,北交所
920351.BJ,920351,华光源海,湖南,仓储物流,20221229,,L,BSE,北交所
920346.BJ,920346,威贸电子,上海,元器件,20220223,,L,BSE,北交所
