model,factor_id,engine,n,mean,std,min,max,unique_ratio,is_constant,rule_score_mean,rule_score_std
ipo_approx_v1,Z_MOVE_001,ziwei,500,0.3737,0.3340,-0.2605,0.8701,0.0420,False,4.1038,2.8772
ipo_approx_v1,Z_MOVE_002,ziwei,500,-0.2610,0.3121,-1.0000,0.0000,0.0060,False,2.0880,2.4964
ipo_approx_v1,Z_MOVE_003,ziwei,500,0.1600,0.3666,0.0000,1.0000,0.0040,False,1.2800,2.9328
ipo_approx_v1,Z_MUTAGEN_001,ziwei,500,0.4300,0.4496,0.0000,1.0000,0.0060,False,4.3000,4.4956
ipo_approx_v1,Z_MUTAGEN_002,ziwei,500,0.4290,0.4444,0.0000,1.0000,0.0060,False,4.2900,4.4436
ipo_approx_v1,Z_MUTAGEN_003,ziwei,500,0.3550,0.4410,0.0000,1.0000,0.0060,False,3.5500,4.4099
ipo_approx_v1,Z_MUTAGEN_004,ziwei,500,-0.4340,0.4513,-1.0000,0.0000,0.0060,False,4.3400,4.5127
ipo_approx_v1,Z_MUTAGEN_005,ziwei,500,0.4580,0.3677,0.0000,1.0000,0.0060,False,4.5800,3.6774
ipo_approx_v1,Z_MUTAGEN_006,ziwei,500,-0.3500,0.4770,-1.0000,0.0000,0.0040,False,2.8000,3.8158
ipo_approx_v1,Z_TRINE_001,ziwei,500,0.5775,0.2231,-0.0250,0.8617,0.1280,False,5.7761,2.2287
ipo_approx_v1,Z_TRINE_002,ziwei,500,0.3400,0.2272,0.0000,0.8333,0.0120,False,3.4001,2.2720
ipo_approx_v1,Z_TRINE_003,ziwei,500,-0.5000,0.2632,-1.0000,0.0000,0.0100,False,5.0000,2.6315
ipo_approx_v1,Z_TRINE_004,ziwei,500,-0.0077,0.5356,-0.9311,0.9311,0.0220,False,4.6790,2.6082
ipo_approx_v1,Z_TRINE_005,ziwei,500,0.6852,0.2476,0.0000,1.0000,0.0120,False,3.4260,1.2380
ipo_approx_v1,Z_YEAR_001,ziwei,500,-0.2727,0.0000,-0.2727,-0.2727,0.0020,True,1.3640,0.0000
ipo_approx_v1,Z_YEAR_002,ziwei,500,0.4841,0.2392,-0.0997,0.8122,0.0120,False,4.9929,2.0576
ipo_approx_v1,Z_YEAR_003,ziwei,500,-0.4673,0.1990,-1.0000,-0.3333,0.0060,False,3.7388,1.5917
ipo_approx_v1,Z_YEAR_004,ziwei,500,0.0938,0.6657,-1.0000,1.0000,0.0240,False,2.9711,1.5719
ipo_approx_v1,Z_YEAR_005,ziwei,500,0.1025,0.5863,-1.0000,1.0000,0.0240,False,2.5657,1.5086
ipo_approx_v1,Z_YEAR_006,ziwei,500,0.0460,0.1445,0.0000,0.5000,0.0040,False,0.4600,1.4451
listing_close_v1,B_DAY_001,bazi,500,-0.2296,0.7680,-1.0000,1.0000,0.0100,False,7.1200,3.6826
listing_close_v1,B_DAY_002,bazi,500,0.1400,0.2417,0.0000,1.0000,0.0060,False,1.4000,2.4166
listing_close_v1,B_DAY_003,bazi,500,0.0980,0.2177,0.0000,1.0000,0.0060,False,0.9800,2.1771
listing_close_v1,B_DAY_004,bazi,500,-0.2296,0.7680,-1.0000,1.0000,0.0100,False,7.1200,3.6826
listing_close_v1,B_DAY_005,bazi,500,0.4993,0.3145,0.0000,1.0000,0.0200,False,5.0000,0.0000
listing_close_v1,B_DAY_006,bazi,500,-0.1040,0.8131,-1.0000,1.0000,0.0060,False,6.7200,4.6948
listing_close_v1,B_DAY_007,bazi,500,0.2360,0.3087,0.0000,1.0000,0.0060,False,2.3600,3.0871
listing_close_v1,B_DAY_008,bazi,500,0.1220,0.2283,0.0000,1.0000,0.0060,False,1.2200,2.2829
listing_close_v1,B_MONTH_001,bazi,500,0.3464,0.6936,-1.0000,1.0000,0.0100,False,7.0880,3.1420
listing_close_v1,B_MONTH_002,bazi,500,-0.2296,0.7680,-1.0000,1.0000,0.0100,False,7.1200,3.6826
listing_close_v1,B_MONTH_003,bazi,500,0.9480,0.2220,0.0000,1.0000,0.0040,False,9.4800,2.2203
listing_close_v1,B_MONTH_004,bazi,500,0.7900,0.4073,0.0000,1.0000,0.0040,False,7.9000,4.0731
listing_close_v1,B_MONTH_005,bazi,500,0.7640,0.4246,0.0000,1.0000,0.0040,False,7.6400,4.2462
listing_close_v1,B_MONTH_006,bazi,500,0.0400,0.1960,0.0000,1.0000,0.0040,False,0.4000,1.9596
listing_close_v1,B_MONTH_007,bazi,500,0.0980,0.2177,0.0000,1.0000,0.0060,False,0.9800,2.1771
listing_close_v1,B_MONTH_008,bazi,500,0.1400,0.2417,0.0000,1.0000,0.0060,False,1.4000,2.4166
listing_close_v1,B_MONTH_009,bazi,500,0.2360,0.3087,0.0000,1.0000,0.0060,False,2.3600,3.0871
listing_close_v1,B_MONTH_010,bazi,500,0.1220,0.2283,0.0000,1.0000,0.0060,False,1.2200,2.2829
listing_close_v1,B_MONTH_011,bazi,500,0.5171,0.3265,0.0000,1.0000,0.0200,False,5.0000,0.0000
listing_close_v1,B_MONTH_012,bazi,500,-0.1040,0.8131,-1.0000,1.0000,0.0060,False,6.7200,4.6948
listing_close_v1,B_NATAL_001,bazi,500,-0.2100,0.6663,-1.0000,1.0000,0.0100,False,5.7000,4.0386
listing_close_v1,B_NATAL_002,bazi,500,0.6350,0.2660,0.0000,1.0000,0.0100,False,6.3500,2.6604
listing_close_v1,B_NATAL_003,bazi,500,0.5160,0.4997,0.0000,1.0000,0.0040,False,5.1600,4.9974
listing_close_v1,B_NATAL_004,bazi,500,0.2360,0.4246,0.0000,1.0000,0.0040,False,2.3600,4.2462
listing_close_v1,B_NATAL_005,bazi,500,0.6115,0.2932,0.0000,1.0000,0.0100,False,6.1150,2.9316
listing_close_v1,B_NATAL_006,bazi,500,0.6135,0.2859,0.0000,1.0000,0.0100,False,6.1350,2.8591
listing_close_v1,B_NATAL_007,bazi,500,0.6135,0.2915,0.0000,1.0000,0.0100,False,6.1350,2.9154
listing_close_v1,B_NATAL_008,bazi,500,0.6505,0.2659,0.0000,1.0000,0.0100,False,6.5050,2.6594
listing_close_v1,B_NATAL_009,bazi,500,0.5984,0.2868,0.2000,1.0000,0.0100,False,6.9432,0.4922
listing_close_v1,B_NATAL_010,bazi,500,0.5516,0.2686,0.2000,1.0000,0.0100,False,5.9104,1.2211
listing_close_v1,B_NATAL_011,bazi,500,0.2620,0.2232,0.0000,1.0000,0.0080,False,2.6199,2.2316
