hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-CON-BZ-ZW-CAL-001,listing_close_v1,OOS,calibrated,2023,35,-0.051441,0.371429,-1
HYP-CON-BZ-ZW-CAL-001,listing_close_v1,OOS,calibrated,2024,58,-0.048647,0.310345,-1
HYP-CON-BZ-ZW-CAL-001,listing_close_v1,OOS,calibrated,2025,40,-0.009695,0.4,-1
HYP-CON-BZ-ZW-CAL-001,listing_close_v1,OOS,calibrated,2026,33,0.043431,0.757576,1
HYP-CON-BZ-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,2023,36,0.019791,0.472222,1
HYP-CON-BZ-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,2024,39,0.00475,0.384615,1
HYP-CON-BZ-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,2025,59,0.024177,0.610169,1
HYP-CON-BZ-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,2026,35,-0.019984,0.485714,-1
HYP-CON-BZ-HL-RAW-001,listing_open_v1,OOS,raw,2023,223,-0.009561,0.426009,-1
HYP-CON-BZ-HL-RAW-001,listing_open_v1,OOS,raw,2024,534,-0.090144,0.252809,-1
HYP-CON-BZ-HL-RAW-001,listing_open_v1,OOS,raw,2025,447,-0.009441,0.505593,-1
HYP-CON-BZ-HL-RAW-001,listing_open_v1,OOS,raw,2026,203,0.007281,0.615764,1
HYP-CON-BZ-HL-RAW-001,listing_close_v1,OOS,raw,2023,228,-0.030635,0.412281,-1
HYP-CON-BZ-HL-RAW-001,listing_close_v1,OOS,raw,2024,511,-0.084941,0.277886,-1
HYP-CON-BZ-HL-RAW-001,listing_close_v1,OOS,raw,2025,435,-0.005783,0.512644,-1
HYP-CON-BZ-HL-RAW-001,listing_close_v1,OOS,raw,2026,241,-0.021215,0.526971,-1
HYP-CON-BZ-HL-RAW-001,ipo_approx_v1,OOS,raw,2023,233,-0.010794,0.377682,-1
HYP-CON-BZ-HL-RAW-001,ipo_approx_v1,OOS,raw,2024,511,-0.091184,0.250489,-1
HYP-CON-BZ-HL-RAW-001,ipo_approx_v1,OOS,raw,2025,454,-0.006678,0.497797,-1
HYP-CON-BZ-HL-RAW-001,ipo_approx_v1,OOS,raw,2026,200,0.001803,0.575,1
HYP-CON-BZ-HL-CAL-001,listing_open_v1,OOS,calibrated,2023,27,-0.004235,0.481481,-1
HYP-CON-BZ-HL-CAL-001,listing_open_v1,OOS,calibrated,2024,124,-0.11518,0.177419,-1
HYP-CON-BZ-HL-CAL-001,listing_open_v1,OOS,calibrated,2025,85,0.009403,0.552941,1
HYP-CON-BZ-HL-CAL-001,listing_open_v1,OOS,calibrated,2026,43,0.020654,0.651163,1
HYP-CON-BZ-HL-CAL-001,listing_close_v1,OOS,calibrated,2023,10,-0.02182,0.2,-1
HYP-CON-BZ-HL-CAL-001,listing_close_v1,OOS,calibrated,2024,109,-0.106286,0.220183,-1
HYP-CON-BZ-HL-CAL-001,listing_close_v1,OOS,calibrated,2025,82,0.016918,0.536585,1
HYP-CON-BZ-HL-CAL-001,listing_close_v1,OOS,calibrated,2026,50,-0.002873,0.52,-1
HYP-CON-BZ-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2023,28,-0.012129,0.321429,-1
HYP-CON-BZ-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2024,123,-0.107321,0.227642,-1
HYP-CON-BZ-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2025,96,0.043717,0.604167,1
HYP-CON-BZ-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2026,30,-0.004068,0.6,-1
HYP-CON-ZW-HL-RAW-001,listing_open_v1,OOS,raw,2023,46,-0.039505,0.369565,-1
HYP-CON-ZW-HL-RAW-001,listing_open_v1,OOS,raw,2024,120,-0.061174,0.291667,-1
HYP-CON-ZW-HL-RAW-001,listing_open_v1,OOS,raw,2025,108,-0.015312,0.472222,-1
