hypothesis_id,birth_model,rank_within_experiment,stock_code,event_count,sum_excess_return,mean_excess_return,abs_mass_share,share_of_total
HYP-CON-ALL3-RAW-001,ipo_approx_v1,14,300576,5,-0.595114,-0.119023,0.019268,0.063298
HYP-CON-ALL3-RAW-001,ipo_approx_v1,15,300630,4,-0.58114,-0.145285,0.018815,0.061812
HYP-CON-ALL3-RAW-001,ipo_approx_v1,16,600083,2,-0.541747,-0.270873,0.01754,0.057622
HYP-CON-ALL3-RAW-001,ipo_approx_v1,17,002288,2,-0.52479,-0.262395,0.016991,0.055818
HYP-CON-ALL3-RAW-001,ipo_approx_v1,18,300208,2,-0.518875,-0.259437,0.016799,0.055189
HYP-CON-ALL3-RAW-001,ipo_approx_v1,19,300709,4,-0.464806,-0.116201,0.015049,0.049438
HYP-CON-ALL3-RAW-001,ipo_approx_v1,20,300309,1,-0.448903,-0.448903,0.014534,0.047747
HYP-CON-ALL3-CAL-001,listing_open_v1,1,603388,3,-1.235713,-0.411904,0.152957,0.272091
HYP-CON-ALL3-CAL-001,listing_open_v1,2,600766,2,-1.034351,-0.517176,0.128032,0.227754
HYP-CON-ALL3-CAL-001,listing_open_v1,3,688689,2,-0.523606,-0.261803,0.064812,0.115293
HYP-CON-ALL3-CAL-001,listing_open_v1,4,000622,2,-0.459679,-0.22984,0.056899,0.101217
HYP-CON-ALL3-CAL-001,listing_open_v1,5,688589,2,-0.364381,-0.182191,0.045103,0.080233
HYP-CON-ALL3-CAL-001,listing_open_v1,6,002912,3,0.298731,0.099577,0.036977,-0.065778
HYP-CON-ALL3-CAL-001,listing_open_v1,7,603032,1,-0.295767,-0.295767,0.03661,0.065125
HYP-CON-ALL3-CAL-001,listing_open_v1,8,603186,1,0.285157,0.285157,0.035297,-0.062789
HYP-CON-ALL3-CAL-001,listing_open_v1,9,601127,3,-0.269243,-0.089748,0.033327,0.059285
HYP-CON-ALL3-CAL-001,listing_open_v1,10,600262,1,0.261408,0.261408,0.032357,-0.057559
HYP-CON-ALL3-CAL-001,listing_open_v1,11,002881,2,-0.244549,-0.122274,0.03027,0.053847
HYP-CON-ALL3-CAL-001,listing_open_v1,12,603668,2,-0.204408,-0.102204,0.025302,0.045009
HYP-CON-ALL3-CAL-001,listing_open_v1,13,688418,2,-0.188649,-0.094324,0.023351,0.041539
HYP-CON-ALL3-CAL-001,listing_open_v1,14,003013,3,0.184015,0.061338,0.022777,-0.040518
HYP-CON-ALL3-CAL-001,listing_open_v1,15,300029,1,-0.173568,-0.173568,0.021484,0.038218
HYP-CON-ALL3-CAL-001,listing_open_v1,16,300160,1,-0.142557,-0.142557,0.017646,0.03139
HYP-CON-ALL3-CAL-001,listing_open_v1,17,003004,1,-0.132456,-0.132456,0.016395,0.029165
HYP-CON-ALL3-CAL-001,listing_open_v1,18,300344,1,0.129305,0.129305,0.016005,-0.028472
