hypothesis_id,object_id,birth_model,direction_source,partition,horizon,event_count,pool_count,positive_rate,sample_count,eligible_stock_count,coverage_start,coverage_end,mean_return,median_return,std_return,up_rate,mean_excess_return,excess_up_rate,mean_bench_return
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,20,2659,10647,0.249742,2655,318,2010-01-04,2020-06-30,0.01025,-0.007331,0.196171,0.465537,-0.003386,0.419962,0.013637
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,TRAIN,60,2659,10647,0.249742,2634,318,2010-01-04,2020-06-30,0.041615,-0.010201,0.316556,0.475702,0.029346,0.485194,0.012269
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,5,1298,5246,0.247427,1294,293,2019-01-02,2022-10-10,0.00202,0.007073,0.10384,0.537867,-0.008444,0.486862,0.010464
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,10,1298,5246,0.247427,1293,293,2019-01-02,2022-10-10,-0.015552,-0.009346,0.138271,0.440835,-0.016411,0.435422,0.000859
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,20,1298,5246,0.247427,1287,293,2019-01-02,2022-10-10,-0.058911,-0.045936,0.211756,0.369075,-0.048955,0.372183,-0.009957
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,VALIDATION,60,1298,5246,0.247427,1224,293,2019-01-02,2022-10-10,0.018817,-0.024046,0.276497,0.453431,0.006745,0.438725,0.012072
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,5,896,3529,0.253896,842,197,2023-01-03,2026-08-14,-0.020464,-0.021685,0.077064,0.340855,-0.008672,0.391924,-0.011792
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,10,896,3529,0.253896,837,197,2023-01-03,2026-08-14,-0.019352,-0.018707,0.105833,0.402628,-0.017705,0.389486,-0.001647
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,20,896,3529,0.253896,831,197,2023-01-03,2026-08-14,-0.01529,-0.008,0.184775,0.474128,-0.015716,0.445247,0.000426
HYP-BZ-CAL-001,bazi_calibrated,listing_open_v1,calibrated,OOS,60,896,3529,0.253896,762,197,2023-01-03,2026-08-14,-0.018071,-0.042936,0.242293,0.38189,-0.031357,0.391076,0.013285
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,TRAIN,5,2653,10647,0.249178,2653,298,2010-01-04,2020-06-30,-0.00011,-0.001439,0.144449,0.486242,0.001421,0.453826,-0.001531
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,TRAIN,10,2653,10647,0.249178,2651,298,2010-01-04,2020-06-30,0.008155,0.0,0.191562,0.497548,0.003672,0.444361,0.004483
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,TRAIN,20,2653,10647,0.249178,2647,298,2010-01-04,2020-06-30,0.014835,-0.008547,0.265272,0.46241,0.009627,0.430676,0.005208
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,TRAIN,60,2653,10647,0.249178,2635,298,2010-01-04,2020-06-30,0.050255,-0.010279,0.363683,0.479317,0.04408,0.498672,0.006176
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,VALIDATION,5,1241,5246,0.236561,1238,250,2019-01-02,2022-10-10,0.005282,0.008195,0.100476,0.545234,-0.006491,0.482229,0.011773
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,VALIDATION,10,1241,5246,0.236561,1237,250,2019-01-02,2022-10-10,-0.007564,-0.005353,0.129703,0.469685,-0.011568,0.448666,0.004004
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,VALIDATION,20,1241,5246,0.236561,1234,250,2019-01-02,2022-10-10,-0.049472,-0.042974,0.200518,0.362237,-0.041721,0.371151,-0.007752
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,VALIDATION,60,1241,5246,0.236561,1194,250,2019-01-02,2022-10-10,0.018155,-0.02135,0.279919,0.447236,0.001115,0.427136,0.01704
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,OOS,5,930,3529,0.263531,888,190,2023-01-03,2026-08-14,-0.021707,-0.021739,0.081905,0.344595,-0.008665,0.376126,-0.013043
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,OOS,10,930,3529,0.263531,884,190,2023-01-03,2026-08-14,-0.019624,-0.020114,0.110751,0.401584,-0.018574,0.378959,-0.001051
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,OOS,20,930,3529,0.263531,874,190,2023-01-03,2026-08-14,-0.017134,-0.00839,0.198435,0.464531,-0.017395,0.440503,0.000261
HYP-BZ-CAL-001,bazi_calibrated,listing_close_v1,calibrated,OOS,60,930,3529,0.263531,793,190,2023-01-03,2026-08-14,-0.006948,-0.035782,0.261435,0.422446,-0.019533,0.412358,0.012585
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,TRAIN,5,2658,10647,0.249648,2658,303,2010-01-04,2020-06-30,0.003031,0.003948,0.123016,0.524831,-0.000535,0.47705,0.003566
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,TRAIN,10,2658,10647,0.249648,2657,303,2010-01-04,2020-06-30,0.011111,0.006652,0.161851,0.523899,0.001515,0.458412,0.009596
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,TRAIN,20,2658,10647,0.249648,2656,303,2010-01-04,2020-06-30,0.020431,-0.002402,0.210634,0.490964,0.00744,0.452184,0.012991
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,TRAIN,60,2658,10647,0.249648,2633,303,2010-01-04,2020-06-30,0.05159,-0.008735,0.339855,0.479681,0.041755,0.502848,0.009834
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,VALIDATION,5,1365,5246,0.260198,1363,286,2019-01-02,2022-10-10,0.001037,0.00165,0.099451,0.504035,-0.008047,0.469552,0.009084
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,VALIDATION,10,1365,5246,0.260198,1361,286,2019-01-02,2022-10-10,-0.014478,-0.0125,0.140367,0.424688,-0.014766,0.426892,0.000288
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,VALIDATION,20,1365,5246,0.260198,1355,286,2019-01-02,2022-10-10,-0.056874,-0.048951,0.195331,0.337269,-0.045242,0.361624,-0.011632
HYP-BZ-CAL-001,bazi_calibrated,ipo_approx_v1,calibrated,VALIDATION,60,1365,5246,0.260198,1313,286,2019-01-02,2022-10-10,0.010054,-0.023479,0.252028,0.44326,-0.00288,0.431074,0.012935
